Province,Campus,RedirectURL
Ontario,Wilfrid Laurier University, https://myaccount.blood.ca/en/join-team/WILF0128159
Nova Scotia,Dalhousie University, https://myaccount.blood.ca/en/join-team/DALH0128160
Nova Scotia,Saint Mary's University, https://myaccount.blood.ca/en/join-team/SAIN0128161
Ontario,George Brown College, https://myaccount.blood.ca/en/join-team/GEOR0128162
Ontario,Niagara College, https://myaccount.blood.ca/en/join-team/NIAG0128163
Ontario,University of Guelph, https://myaccount.blood.ca/en/join-team/UNIV0128085
Ontario,Fleming College, https://myaccount.blood.ca/en/join-team/FLEM0128086
Ontario,Mohawk College, https://myaccount.blood.ca/en/join-team/MOHA0128087
Ontario,Fanshawe College, https://myaccount.blood.ca/en/join-team/FANS0128088
Ontario,St. Clair College, https://myaccount.blood.ca/en/join-team/STCL0128089
Ontario,University of Windsor, https://myaccount.blood.ca/en/join-team/UNIV0128090
British Columbia,Okanagan College, https://myaccount.blood.ca/en/join-team/OKAN002612
British Columbia,Sprott Shaw College, https://myaccount.blood.ca/en/join-team/SPRO0128171
British Columbia,Thompson's Rivers University, https://myaccount.blood.ca/en/join-team/THOM0128172
British Columbia,Cambria College, https://myaccount.blood.ca/en/join-team/CAMB0128173
British Columbia,Royal Roads University, https://myaccount.blood.ca/en/join-team/ROYA002686
British Columbia,University of Victoria, https://myaccount.blood.ca/en/join-team/UNIV0128174
British Columbia,Vancouver Island University - Nanaimo, https://myaccount.blood.ca/en/join-team/VIUV011640
Ontario,Conestoga College, https://myaccount.blood.ca/en/join-team/CONE0128175
Ontario,Westervelt College - Kitchener, https://myaccount.blood.ca/en/join-team/MEDI011518
Ontario,University of Waterloo, https://myaccount.blood.ca/en/join-team/UNIV0128176
Manitoba,Universite de Saint-Boniface, https://myaccount.blood.ca/en/join-team/UNIV002116
Alberta,Red Deer Polytechnic , https://myaccount.blood.ca/en/join-team/REDD0128177
Ontario,Centennial College, https://myaccount.blood.ca/en/join-team/CENT0128178
Ontario,Brock University, https://myaccount.blood.ca/en/join-team/BROC0128179
Ontario,Ridley College, https://myaccount.blood.ca/en/join-team/RIDL010408
Ontario,University of Niagara Falls Canada, https://myaccount.blood.ca/en/join-team/UNIV0120913
British Columbia,Columbia College, https://myaccount.blood.ca/en/join-team/COLU0119167
British Columbia,Langara College, https://myaccount.blood.ca/en/join-team/LANG0120205
British Columbia,LaSalle College Vancouver, https://myaccount.blood.ca/en/join-team/LASA0125069
