Province,Campus,RedirectURL
Ontario,Wilfrid Laurier University,https://myaccount.blood.ca/en/join-team/WILF0128159
Ontario,York University,https://myaccount.blood.ca/en/join-team/YORK0128099
PEI,Holland College,https://myaccount.blood.ca/en/join-team/HOLL0111112
PEI,University of Prince Edward Island - UPEI,https://myaccount.blood.ca/en/join-team/UNIV0128155
Saskatchewan,Campion College - University of Regina,https://myaccount.blood.ca/en/join-team/CAMP009109
Saskatchewan,La Cité - University of Regina,https://myaccount.blood.ca/en/join-team/LACI0119094
Saskatchewan,Saskatchewan Polytechnic ,https://myaccount.blood.ca/en/join-team/SASK0128095
Saskatchewan,University of Regina,https://myaccount.blood.ca/en/join-team/UNIV0104525
Saskatchewan,University of Saskatchewan,https://myaccount.blood.ca/en/join-team/UNIV0128094
Saskatchewan,Western College of Veterinary Medicine,https://myaccount.blood.ca/en/join-team/WEST008362
